Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G6.8_v2,1,Hemisphere experiences summers. Which statement correctly supports the claim?,None,MC,"A) Northern axis of Earth is tilted towards the Sun., B) Southern axis of Earth is tilted towards the Sun., C) Northern and Southern axis of Earth are tilted towards the Sun., D) Northern and Southern axis of Earth are tilted away from the Sun. In which month would the northern hemisphere experience winter?",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Partially Meets,Does Not Meet,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.8_v2,2,In which month would the northern hemisphere experience winter?,None,MC,"A) September, B) December, C) June, D) March In the drawing of a food web below what role does the rabbit play?",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,3,In the drawing of a food web below what role does the rabbit play?,Diagram/image referenced in question,MC,"A) secondary consumer, B) primary consumer, C) tertiary consumer, D) producer Water Cycle",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Grade-appropriate content but routine application.,2,Systems thinking implicitly involved but not consciously used for sense-making.,2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,4,Water Cycle Use the diagram to answer the question below What happens during evaporation?,Diagram/image referenced in question,MC,"A) Water converts into vapor, B) Water falls on the surface, C) Water converts into droplets, D) Water infiltrates under the ground Which of these characteristics involving Sun, Earth, Moon are shown in the model below?",,6,,2,Visual provided but limited scenario context. Somewhat guided.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,5,"Which of these characteristics involving Sun, Earth, Moon are shown in the model below?",Diagram/image referenced in question,MC,"A) The orbital path of Earth and the Moon around the Sun, B) The distances between Earth, the Moon, and the Sun, C) The relative size of Earth compared to the Sun and the Moon, D) The color representation indicating temperatures of Earth, the Moon, and the Sun Select the ONE TRUE statement about the behavior of particles in a solid:",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Some content engagement in answer choices but limited reasoning with DCI.,2,Structure-function relationship implicitly present.,2.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,6,Select the ONE TRUE statement about the behavior of particles in a solid:,None,MC,"A) period known as the Great Drought occurred from A.D. 1276 through 1299. Scientists suggest that this drought may explain why the Anasazi suddenly left their communities. Scientists have collected evidence of the drought by studying tree rings. Trees produce growth rings during annual growing seasons. The widths of the annual rings depend on the available precipitation and average temperatures. Table 1 shows evidence collected from tree ring studies. These studies show how the West was affected by droughts from A.D. 850 through 1400. In years with normal precipitation levels, 38 percent of the West was affected by droughts. Drier years occurred when more than 38 percent of the West was affected by droughts. Based on the food web provided in the passage, if the Anasazi were to farm less corn, what would be the likely, B) Particles in a solid don't have thermal energy., C) Particles in a solid are packed tightly., D) Particles in a solid move past each other at great speeds. 7 A goldfish is swimming across a pond at 44 centimeters per second. At this speed, how far will the goldfish swim in 2.5 seconds? Write your answer as a whole number. centimeters Use the information about the Anasazi and the Great Drought and your knowledge of science to answer the questions. The Anasazi and the Great Drought The Anasazi were a Native American people who settled areas that are now known as Arizona, New Mexico, Colorado, and Utah. Evidence suggests that the Anasazi suddenly moved from their settlements in about A.D. 1300. Scientists have recently looked at what may have caused the Anasazi to move and relocate much farther south in Arizona and New Mexico. The Anasazi set up complex farming communities in the years A.D. 100 through 1300. They built irrigation structures such as reservoirs, stone dams, and low stone walls. These structures helped the Anasazi store and use water for their crops. The Anasazi primarily raised corn, beans, and domesticated turkeys. Figure 1 shows a typical food web for the ecosystem in which the Anasazi people lived.",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,8,"suddenly left their communities. Scientists have collected evidence of the drought by studying tree rings. Trees produce growth rings during annual growing seasons. The widths of the annual rings depend on the available precipitation and average temperatures. Table 1 shows evidence collected from tree ring studies. These studies show how the West was affected by droughts from A.D. 850 through 1400. In years with normal precipitation levels, 38 percent of the West was affected by droughts. Drier years occurred when more than 38 percent of the West was affected by droughts. Based on the food web provided in the passage, if the Anasazi were to farm less corn, what would be the likely outcome on the population of corn-eating mice in this ecosystem?",Diagram/image referenced in question,MC,"A) The population of mice would likely increase., B) The population of mice would likely decrease., C) The population of mice would remain unaffected., D) The population of mice would depend only on other factors. Which statement best describes how the organisms shown in Figure 1 compete for resources?",,6,,4,Rich scenario with data and observable phenomenon requiring genuine sense-making.,4,Requires analyzing data and constructing/evaluating evidence-based claims.,3,"Requires applying science understanding in context, beyond simple recall.",2,Systems thinking implicitly involved but not consciously used for sense-making.,3.25,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G6.8_v2,9,Which statement best describes how the organisms shown in Figure 1 compete for resources?,Diagram/image referenced in question,MC,"A) Rabbits, grasshoppers, and mice all compete with snakes for food., B) The Anasazi, mice, and domesticated turkeys all compete for corn., C) Hawks, rabbits, and the Anasazi all compete for grass., D) The Anasazi and grasshoppers compete for desert grass. Use the information and your knowledge of science to answer the question.",,6,,3,Real-world scenario with visual component provides some context for reasoning.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.75,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G6.8_v2,10,Use the information and your knowledge of science to answer the question.,None,MC,"A) No forces are acting on the rock., B) The sum of the forces acting on the rock is zero., C) The force of gravity is not acting on the rock., D) The force of gravity is the only force acting on the rock. Particles are spaced the farthest apart in ____________ and the closest together in ____________ . Select the answer that",,6,,1,Minimal or no scenario. Question is straightforward recall or identification.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,11,Particles are spaced the farthest apart in ____________ and the closest together in ____________ . Select the answer that best completes the sentence.,None,MC,"A) liquids; solids, B) gases; liquids, C) solids; gases, D) gases; solids 12 Using the formula H O, drag and drop the pins to correctly label the molecule in the picture. Be sure to label all three atoms.",,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,1,"No CCC engagement. No patterns, cause/effect, or systems thinking required.",1.5,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,2,"12 Using the formula H O, drag and drop the pins to correctly label the molecule in the picture. Be sure to label all three atoms. DRAG & DROP THE ANSWER Hydrogen Oxygen Note: Use CTRL+D to drag the option via keyboard Answer the following questions after reading this passage. Particle Motion The model shows how particles of a substance behave when the substance changes phase. The kinetic energy of the particles increases when the particles gain thermal energy. When the amount of kinetic energy is high, the speed of the particles is also high. Carbon dioxide is a gas at room temperature (25°C). It changes to a solid when cooled below -78.5°C and is called dry",Diagram/image referenced in question,MC,,,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",3,"Requires applying science understanding in context, beyond simple recall.",3,Multiple CCCs implicitly engaged through the reasoning required.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,13,"DRAG & DROP THE ANSWER Hydrogen Oxygen Note: Use CTRL+D to drag the option via keyboard Answer the following questions after reading this passage. Particle Motion The model shows how particles of a substance behave when the substance changes phase. The kinetic energy of the particles increases when the particles gain thermal energy. When the amount of kinetic energy is high, the speed of the particles is also high. Carbon dioxide is a gas at room temperature (25°C). It changes to a solid when cooled below -78.5°C and is called dry ice. When dry ice is placed at room temperature, it directly sublimes from the solid to vapor. Which statement is correct about the kinetic energy change during sublimation?",Diagram/image referenced in question,MC,"A) student reads that water freezes below 0°C and evaporates above 100°C. Which model should the student make to, B) The kinetic energy increases as dry ice releases thermal energy in the form of vapor., C) The kinetic energy decreases as dry ice gains thermal energy and changes into vapor., D) The kinetic energy decreases as dry ice directly changes to vapor without forming a liquid.",,6,,2,Visual provided but limited scenario context. Somewhat guided.,2,"Uses a model but at mechanical/reading level, not for sense-making.",2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G6.8_v2,14,"show the particle motion of water? A B C D 15 Starting with the substance that has the least amount of kinetic energy on top, arrange the substances in increasing order by the amount of kinetic energy they possess. Water at 40°C Water vapor at 100°C Ice at -4°C Mixture of ice and water at 0°C Water at 20°C",None,MC,A) bowl of water is placed in the Sun. The water first becomes warm and then starts to evaporate. Which model,,6,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Grade-appropriate content but routine application.,2,Energy/matter concepts implicitly present.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
